Kabupaten_Kota,RLS,Tahun,AMH
Kota Pariaman,10.78,2022,99.69
Kota Pariaman,10.79,2023,99.7
Kota Pariaman,11.06,2024,99.84
Kota Pariaman,11.32,2025,99.67
Kota Payakumbuh,9.53,2010,99.01
Kota Payakumbuh,9.68,2011,98.56
Kota Payakumbuh,9.83,2012,99.36
Kota Payakumbuh,9.93,2013,99.48
Kota Payakumbuh,9.96,2014,99.89
Kota Payakumbuh,10.29,2015,100.0
Kota Payakumbuh,10.3,2016,100.0
Kota Payakumbuh,10.45,2017,99.92
Kota Payakumbuh,10.46,2018,99.89
Kota Payakumbuh,10.72,2019,99.58
Kota Payakumbuh,10.73,2020,99.66
Kota Payakumbuh,10.81,2021,99.79
Kota Payakumbuh,10.82,2022,99.95
Kota Payakumbuh,10.88,2023,99.83
Kota Payakumbuh,10.89,2024,99.95
Kota Payakumbuh,11.08,2025,99.89
Kota Sawahlunto,8.96,2010,98.81
Kota Sawahlunto,9.05,2011,97.88
Kota Sawahlunto,9.32,2012,98.58
Kota Sawahlunto,9.45,2013,99.82
Kota Sawahlunto,9.65,2014,100.0
Kota Sawahlunto,9.66,2015,99.63
Kota Sawahlunto,9.92,2016,100.0
Kota Sawahlunto,9.93,2017,100.0
Kota Sawahlunto,9.94,2018,99.37
Kota Sawahlunto,9.97,2019,99.57
Kota Sawahlunto,10.17,2020,99.86
Kota Sawahlunto,10.32,2021,99.87
Kota Sawahlunto,10.43,2022,99.74
Kota Sawahlunto,10.44,2023,99.41
Kota Sawahlunto,10.53,2024,99.81
Kota Sawahlunto,10.54,2025,99.84
Kota Solok,10.28,2010,99.04
Kota Solok,10.3,2011,98.6
Kota Solok,10.35,2012,99.55
Kota Solok,10.72,2013,99.41
Kota Solok,10.75,2014,99.95
Kota Solok,10.77,2015,99.91
Kota Solok,10.79,2016,100.0
Kota Solok,10.95,2017,99.84
Kota Solok,11.01,2018,99.86
Kota Solok,11.02,2019,99.19
Kota Solok,11.03,2020,99.59
Kota Solok,11.04,2021,99.6
Kota Solok,11.35,2022,99.84
Kota Solok,11.36,2023,99.83
Kota Solok,11.37,2024,99.8
Kota Solok,11.38,2025,99.81
